id,limit_balance,sex,education_level,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,default_payment_next_month,predicted_default_payment_next_month
27502.0,80000.0,1,6,1,54.0,0.0,0.0,0.0,0.0,0,0,61454.0,61808.0,62290.0,29296.0,26210.0,17643.0,2545.0,2208.0,1336.0,2232.0,542.0,348.0,1,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.8667634129524231"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.13323648273944855"",
      ""value"": ""1""
    }
  }]
}"
26879.0,200000.0,1,4,1,49.0,0.0,0.0,0.0,0.0,0,0,49221.0,49599.0,50942.0,50146.0,50235.0,48984.0,1689.0,2164.0,2500.0,3480.0,2500.0,3000.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.93519687652587891"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.064803034067153931"",
      ""value"": ""1""
    }
  }]
}"
18340.0,20000.0,2,6,2,22.0,0.0,0.0,0.0,0.0,0,0,19568.0,19420.0,15535.0,1434.0,500.0,0.0,4641.0,1019.0,900.0,0.0,1500.0,0.0,1,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.85725605487823486"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.14274384081363678"",
      ""value"": ""1""
    }
  }]
}"
13692.0,260000.0,2,4,2,33.0,0.0,0.0,0.0,0.0,0,0,18457.0,22815.0,27086.0,27821.0,30767.0,29890.0,5000.0,5000.0,1137.0,5000.0,1085.0,5000.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.96908813714981079"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.030911821871995926"",
      ""value"": ""1""
    }
  }]
}"
20405.0,150000.0,1,4,2,32.0,0.0,0.0,0.0,-1.0,0,0,159919.0,68686.0,161192.0,150464.0,143375.0,146411.0,4019.0,146896.0,157436.0,4600.0,4709.0,5600.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.93499267101287842"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.065007321536540985"",
      ""value"": ""1""
    }
  }]
}"
3882.0,300000.0,2,4,2,32.0,0.0,0.0,0.0,0.0,0,-1,54053.0,65235.0,64747.0,65150.0,-450.0,700.0,15235.0,1491.0,1303.0,0.0,2000.0,1400.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.95305526256561279"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.046944726258516312"",
      ""value"": ""1""
    }
  }]
}"
7227.0,130000.0,1,1,1,45.0,0.0,0.0,0.0,0.0,0,0,58180.0,59134.0,61156.0,62377.0,63832.0,65099.0,2886.0,2908.0,2129.0,2354.0,2366.0,2291.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.90300285816192627"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.096997104585170746"",
      ""value"": ""1""
    }
  }]
}"
1379.0,200000.0,1,1,1,58.0,0.0,0.0,0.0,0.0,0,0,192461.0,195970.0,122214.0,124647.0,126921.0,129167.0,7822.0,4417.0,4446.0,4597.0,4677.0,4698.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.8636506199836731"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.13634936511516571"",
      ""value"": ""1""
    }
  }]
}"
29477.0,500000.0,1,1,1,39.0,0.0,0.0,0.0,0.0,0,0,133598.0,167378.0,171106.0,174500.0,137406.0,204975.0,54209.0,4607.0,4603.0,5224.0,207440.0,7509.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.93992650508880615"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.060073502361774445"",
      ""value"": ""1""
    }
  }]
}"
10643.0,230000.0,1,1,1,48.0,0.0,0.0,0.0,0.0,0,0,160879.0,161797.0,165107.0,105508.0,108101.0,110094.0,7000.0,6607.0,3773.0,4290.0,4164.0,2000.0,0,"{
  ""predicted_default_payment_next_month"": [{
    ""tables"": {
      ""score"": ""0.89172428846359253"",
      ""value"": ""0""
    }
  }, {
    ""tables"": {
      ""score"": ""0.1082756370306015"",
      ""value"": ""1""
    }
  }]
}"
